Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter  31000 |loss   0.00 |n_ep   365 |ep_len  185.6 |ep_rew   4.52 |raw_ep_rew  33.87 |env_step  62000 |time 07:52 rem 42:53
iter  31500 |loss   0.00 |n_ep   372 |ep_len  173.6 |ep_rew   4.03 |raw_ep_rew  34.98 |env_step  63000 |time 08:00 rem 42:50
iter  32000 |loss   0.00 |n_ep   377 |ep_len  166.1 |ep_rew   3.88 |raw_ep_rew  33.12 |env_step  64000 |time 08:08 rem 42:46
iter  32500 |loss   0.00 |n_ep   384 |ep_len  167.4 |ep_rew   3.80 |raw_ep_rew  32.71 |env_step  65000 |time 08:17 rem 42:42
iter  33000 |loss   0.00 |n_ep   390 |ep_len  162.1 |ep_rew   3.62 |raw_ep_rew  31.74 |env_step  66000 |time 08:25 rem 42:39
iter  33500 |loss   0.01 |n_ep   393 |ep_len  198.6 |ep_rew   4.54 |raw_ep_rew  31.74 |env_step  67000 |time 08:34 rem 42:35
iter  34000 |loss   0.00 |n_ep   397 |ep_len  213.1 |ep_rew   4.95 |raw_ep_rew  32.23 |env_step  68000 |time 08:42 rem 42:30
iter  34500 |loss   0.01 |n_ep   403 |ep_len  204.9 |ep_rew   4.83 |raw_ep_rew  32.23 |env_step  69000 |time 08:50 rem 42:26
iter  35000 |loss   0.00 |n_ep   409 |ep_len  191.8 |ep_rew   4.66 |raw_ep_rew  33.09 |env_step  70000 |time 08:59 rem 42:22
iter  35500 |loss   0.00 |n_ep   414 |ep_len  189.3 |ep_rew   4.65 |raw_ep_rew  33.58 |env_step  71000 |time 09:07 rem 42:18
