Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  65500 |loss   0.00 |n_ep  3986 |ep_len   36.2 |ep_rew  -0.06 |raw_ep_rew   1.67 |env_step 131000 |time 17:43 rem 36:24
iter  66000 |loss   0.00 |n_ep  4019 |ep_len   33.4 |ep_rew  -0.07 |raw_ep_rew   1.49 |env_step 132000 |time 17:52 rem 36:18
iter  66500 |loss   0.00 |n_ep  4043 |ep_len   39.5 |ep_rew   0.10 |raw_ep_rew   1.68 |env_step 133000 |time 18:01 rem 36:11
iter  67000 |loss   0.00 |n_ep  4072 |ep_len   34.5 |ep_rew  -0.02 |raw_ep_rew   1.61 |env_step 134000 |time 18:10 rem 36:05
iter  67500 |loss   0.00 |n_ep  4098 |ep_len   40.9 |ep_rew   0.07 |raw_ep_rew   2.19 |env_step 135000 |time 18:19 rem 35:58
iter  68000 |loss   0.00 |n_ep  4122 |ep_len   43.1 |ep_rew   0.18 |raw_ep_rew   2.25 |env_step 136000 |time 18:28 rem 35:52
iter  68500 |loss   0.00 |n_ep  4150 |ep_len   37.4 |ep_rew  -0.03 |raw_ep_rew   1.85 |env_step 137000 |time 18:37 rem 35:45
iter  69000 |loss   0.00 |n_ep  4180 |ep_len   45.8 |ep_rew   0.24 |raw_ep_rew   1.86 |env_step 138000 |time 18:46 rem 35:38
iter  69500 |loss   0.00 |n_ep  4209 |ep_len   32.4 |ep_rew  -0.20 |raw_ep_rew   1.61 |env_step 139000 |time 18:55 rem 35:32
iter  70000 |loss   0.00 |n_ep  4240 |ep_len   32.5 |ep_rew  -0.18 |raw_ep_rew   1.56 |env_step 140000 |time 19:04 rem 35:25
iter  70500 |loss   0.00 |n_ep  4274 |ep_len   30.2 |ep_rew  -0.18 |raw_ep_rew   1.20 |env_step 141000 |time 19:13 rem 35:18
iter  71000 |loss   0.00 |n_ep  4307 |ep_len   34.1 |ep_rew  -0.07 |raw_ep_rew   0.97 |env_step 142000 |time 19:22 rem 35:11
iter  71500 |loss   0.00 |n_ep  4333 |ep_len   40.6 |ep_rew   0.11 |raw_ep_rew   1.43 |env_step 143000 |time 19:31 rem 35:05
iter  72000 |loss   0.00 |n_ep  4362 |ep_len   42.0 |ep_rew   0.07 |raw_ep_rew   1.21 |env_step 144000 |time 19:40 rem 34:58
iter  72500 |loss   0.00 |n_ep  4387 |ep_len   50.8 |ep_rew   0.32 |raw_ep_rew   1.84 |env_step 145000 |time 19:49 rem 34:52
iter  73000 |loss   0.00 |n_ep  4413 |ep_len   34.2 |ep_rew  -0.14 |raw_ep_rew   1.84 |env_step 146000 |time 19:58 rem 34:45
iter  73500 |loss   0.00 |n_ep  4437 |ep_len   47.9 |ep_rew   0.24 |raw_ep_rew   1.78 |env_step 147000 |time 20:07 rem 34:38
iter  74000 |loss   0.00 |n_ep  4465 |ep_len   32.0 |ep_rew  -0.18 |raw_ep_rew   2.05 |env_step 148000 |time 20:16 rem 34:31
iter  74500 |loss   0.00 |n_ep  4492 |ep_len   41.8 |ep_rew   0.18 |raw_ep_rew   2.03 |env_step 149000 |time 20:25 rem 34:25
iter  75000 |loss   0.00 |n_ep  4519 |ep_len   32.7 |ep_rew  -0.11 |raw_ep_rew   2.08 |env_step 150000 |time 20:35 rem 34:18
iter  75500 |loss   0.00 |n_ep  4543 |ep_len   43.1 |ep_rew   0.16 |raw_ep_rew   2.20 |env_step 151000 |time 20:44 rem 34:11
iter  76000 |loss   0.00 |n_ep  4571 |ep_len   31.6 |ep_rew  -0.17 |raw_ep_rew   2.28 |env_step 152000 |time 20:53 rem 34:04
iter  76500 |loss   0.00 |n_ep  4599 |ep_len   35.1 |ep_rew  -0.08 |raw_ep_rew   1.79 |env_step 153000 |time 21:02 rem 33:58
iter  77000 |loss   0.00 |n_ep  4620 |ep_len   51.1 |ep_rew   0.33 |raw_ep_rew   2.43 |env_step 154000 |time 21:11 rem 33:51
iter  77500 |loss   0.00 |n_ep  4646 |ep_len   39.4 |ep_rew   0.00 |raw_ep_rew   2.08 |env_step 155000 |time 21:20 rem 33:44
iter  78000 |loss   0.00 |n_ep  4676 |ep_len   31.4 |ep_rew  -0.20 |raw_ep_rew   2.18 |env_step 156000 |time 21:29 rem 33:37
iter  78500 |loss   0.00 |n_ep  4698 |ep_len   44.9 |ep_rew   0.17 |raw_ep_rew   2.27 |env_step 157000 |time 21:39 rem 33:30
